ID,Software,Link,Description,Subtype,Year,Last Modified
CC1,Others,https://stackoverflow.com/questions/6174500,Log4j appenders for spring DependencyInjectionTestExecutionListener,Missing,2011,2011
CC2,Nginx,https://serverfault.com/questions/932600/nginx-proxy-configuration-error-crit-pread,Nginx proxy configuration error: [crit] pread(),Missing,2018,2018
CC3,Others,https://stackoverflow.com/questions/22743582,Error: Configuration with name 'default' not found in Android Studio,Missing,2014,2018
CC4,MySQL,http://serverfault.com/questions/474116/mysql-error-1429-federation,mysql error 1429 federation,Incompatible,2013,2013
CC5,MySQL,http://serverfault.com/questions/453729/periodic-mysql-lockup-when-wordpress-is-under-heavy-load,periodic mysql lockup when wordpress is under heavy load,Incompatible,2012,2012
CC6,Nginx,https://serverfault.com/questions/410725/php-fpm-and-continuos-exited-on-signal-11,PHP-FPM and continuos “exited on signal 11”，PHP 5.3.14 has a serious bug,Incompatible,2012,2017
CC7,Apache httpd,https://serverfault.com/questions/974404/cant-get-php-fpm-working-so-that-multiple-versions-of-php-can-be-used,Can't get PHP-FPM working so that multiple versions of php can be used,Incompatible,2019,2019
CC8,PHP,https://serverfault.com/questions/586731/apache-fails-to-start-after-php-upgrade-on-centos-6-5-x64,Apache fails to start after PHP upgrade on CentOS 6.5 x64,Incompatible,2014,2014
CC9,Apache httpd,https://serverfault.com/questions/772298/configuring-apache2-mpm-worker-with-php5,Configuring apache2-mpm-worker with php5,Incompatible,2016,2016
CC10,Others,https://serverfault.com/questions/559634/on-aws-why-does-internal-dns-lookup-for-rds-fail-in-php-page,On AWS why does internal DNS lookup for RDS fail in PHP page?,Incompatible,2013,2013
CC11,Others,https://issues.apache.org/jira/browse/HBASE-13200/,Improper configuration can leads to endless lease recovery during failover,Cross-comp. misconfig.,2015,2015
CC12,Others,https://stackoverflow.com/questions/58113282,How to fix NullPointerException when getting current Hibernate Session,Incompatible,2019,2019
CC13,Others,https://stackoverflow.com/questions/37936038,"Getting ""project"" nuget configuration is invalid error",Incompatible,2016,2020
CC14,Others,https://stackoverflow.com/questions/2231031,Spring Web flow configuration error,Incompatible,2010,2010
CC15,Others,https://stackoverflow.com/questions/266601,Spring configuration error,Incompatible,2008,2010
CC16,Others,https://stackoverflow.com/questions/2006402,Compiling CUDA examples gives build error,Incompatible,2010,2016
CC17,Others,https://stackoverflow.com/questions/39673737,Spring Security : configuration error,Incompatible,2016,2016
CC18,PostgreSQL,https://stackoverflow.com/questions/34073223/django-app-with-postgres-backend-throwing-error-in-new-set-up-azure-vm/34083019#34083019,Django app with postgres backend throwing error in new set up (Azure VM),Incompatible,2015,2015
CC19,PostgreSQL,https://stackoverflow.com/questions/34023813/symfony-2-7-cacheclear-command-checks-every-database-connection/34024275#34024275,Symfony 2.7 cache:clear command checks every database connection,Incompatible,2015,2023
CC20,Hadoop,https://stackoverflow.com/questions/33852044/why-can-i-not-read-from-the-aws-s3-in-spark-application-anymore/35653666#35653666,Why can I not read from the AWS S3 in Spark application anymore?,Incompatible,2015,2016
CC21,Hadoop,https://stackoverflow.com/questions/19043970/cannot-initialize-cluster-please-check-your-configuration-for-mapreduce-framewo,Cannot initialize Cluster. Please check your configuration for mapreduce.framework.name and the correspond server addresses-submiting job2remoteClustr,Incompatible,2013,2019
CC22,Hadoop,https://stackoverflow.com/questions/16498711/oozie-war-creation-unsupported-hadoop-version-supported-versions-0-20-1-0-20/16499400#16499400,"Oozie war creation - Unsupported Hadoop version supported versions: 0.20.1, 0.20.2, 0.20.104, 0.20.200, 0.23.x and 2.x",Incompatible,2013,2013
CC23,Hadoop,https://stackoverflow.com/questions/36372009/jmeter-hbase-scan-sampler-fails-with-classnotfoundexception-exception/36377717#36377717,JMeter Hbase scan sampler fails with ClassNotFoundException exception,Incompatible,2016,2016
CC24,Others,https://stackoverflow.com/questions/49990933,Configuration on demand is not supported by the current version of the Android Gradle plugin,Incompatible,2018,2019
CC25,Apache httpd,https://serverfault.com/questions/805480/cannot-run-apache-2-4-with-libapache2-mod-php5,Cannot run Apache 2.4 with libapache2-mod-php5,Incompatible,2016,2016
CC26,Nginx,https://serverfault.com/questions/986001/installing-letsencrypt-ssl-on-amazon-linux-with-nginx-php-fpm-gives-the-conne,Installing LetsEncrypt SSL on Amazon Linux with Nginx + PHP-FPM gives “The connection was reset” error,Incompatible,2019,2019
CC27,PHP,https://serverfault.com/questions/346472/missing-dependency-issue-when-trying-to-install-apc-extension-for-php,Missing Dependency issue when trying to install apc extension for php,Incompatible,2012,2012
CC28,Nginx,https://serverfault.com/questions/519438/php-fpm-stops-responding-and-dies,PHP-FPM stops responding and dies,Incompatible,2013,2014
CC29,Apache httpd,https://serverfault.com/questions/383946/apache-crashes-when-php-mysql-dll-is-loaded,apache crashes when php_mysql.dll is loaded,Incompatible,2012,2012
CC30,PHP,https://serverfault.com/questions/477862/error-message-with-phpmyadmin-when-starting-up-apache,Error message with phpmyadmin when starting up apache,Incompatible,2013,2013
CC31,Others,https://serverfault.com/questions/175990/lighttpd-virtual-host-error,Lighttpd Virtual Host Error,Incompatible,2010,2011
CC32,Others,https://serverfault.com/questions/549381/puppet-installs-too-many-dependencies,Puppet installs too many dependencies,Missing,2013,2013
CC33,MySQL,https://stackoverflow.com/questions/54094991/error-in-sql-connector-configuration-when-connecting-using-ballerina-mysql-clien,Failed to initialize pool， Initial client character set can be forced via the 'characterEncoding' property,Incompatible,2019,2019
CC34,Nginx,https://stackoverflow.com/questions/61701266/500-error-on-moving-project-to-another-server,500 error on moving project to another server,Incompatible,2020,2020
CC35,Nginx,https://stackoverflow.com/questions/53642626/nginx-mywebsite-intweb-net-redirected-you-too-many-times-err-too-many-redirect,"nginx: mywebsite.intweb.net redirected you too many times. ERR_TOO_MANY_REDIRECTS,",Incompatible,2018,2018
