ID,Software,Link,Description,Subtype,Year,Last Modified
CD1,MySQL,http://serverfault.com/questions/243631/mysql-server-running-only-on-unix-socket,mysql server running only on unix socket,Functionality,2011,2011
CD2,MySQL,http://serverfault.com/questions/270258/mysql-not-accepting-connections-from-wp,mysql not accepting connections from wp(WordPress),Functionality,2011,2011
CD3,MySQL,http://serverfault.com/questions/453251/how-to-speed-up-a-mysql-import,how to speed up a mysql import,Performance,2012,2012
CD4,MySQL,http://serverfault.com/questions/6354/error-2006-hy000-at-line-149351-mysql-server-has-gone-away,error 2006 hy000 at line 149351 mysql server has gone away,Functionality,2009,2018
CD5,MySQL,http://serverfault.com/questions/564378/mysql-shut-down-it-self-periodically,mysql shut down it self periodically,Functionality,2013,2013
CD6,MySQL,http://serverfault.com/questions/240032/mysql-database-restore-error,MySQL Database Restore error,Functionality,2011,2011
CD7,MySQL,http://serverfault.com/questions/320253/mysql-multi-level-replication-breaks-constantly,MySQL multi level replication breaks constantly,Functionality,2011,2011
CD8,MySQL,http://serverfault.com/questions/308707/mysql-hangs-up-the-server-how-to-avoid-this,mysql hangs up the server how to avoid this,Functionality,2011,2011
CD9,MySQL,http://serverfault.com/questions/317256/mysql-5-0-5-1-upgrade-table-upgrades-taking-a-very-long-time,mysql 5 0 5 1 upgrade table upgrades taking a very long time,Performance,2011,2011
CD10,MySQL,http://serverfault.com/questions/102720/datadump-fails-with-exit-code-1,datadump fails with exit code 1,Functionality,2010,2010
CD11,MySQL,http://serverfault.com/questions/538652/mysql-5-1-69-at-centos-6-4-doesnt-know-enable-named-pipe,mysql 5 1 69 at centos 6 4 doesnt know enable named pipe,Functionality,2013,2013
CD12,MySQL,http://serverfault.com/questions/445822/mysql-died-during-the-night-on-a-12-04-1-ubuntu,mysql died during the night on a 12 04 1 ubuntu,Functionality,2012,2012
CD13,MySQL,http://serverfault.com/questions/534676/mysql-failed-to-start-error-1053-windows-server-2008-r2,mysql failed to start error 1053 windows server 2008 r2,Functionality,2013,2024
CD14,MySQL,http://serverfault.com/questions/362336/mysql-odbc-issue-data-source-name-not-found-and-no-default-driver-specified,mysql odbc issue data source name not found and no default driver specified,Functionality,2012,2012
CD15,MySQL,http://serverfault.com/questions/403454/ubuntu-12-04-mysql-5-5-24-crashes-everyday,ubuntu 12 04 mysql 5 5 24 crashes everyday,Functionality,2012,2012
CD16,MySQL,http://serverfault.com/questions/415884/files-in-mysql-data-folder,files in mysql data folder,Functionality,2012,2012
