Year,Title,Link
2003,"STRIDER: A Black-box, State-based Approach to Change and Configuration Management and
Support",https://www.sciencedirect.com/science/article/pii/S0167642304000760
2003,PeerPressure: A Statistical Method for Automatic Misconfiguration Troubleshooting,http://www.nicemice.net/helen/papers/msr-tr-03-80.pdf
2004,Configuration debugging as search: Finding the needle in the haystack,https://www.usenix.org/legacy/event/osdi04/tech/full_papers/whitaker/whitaker_html/
2004,Combining High Level Symptom Descriptions and Low Level State Information for Configuration Fault Diagnosis,https://www.usenix.org/legacy/event/lisa04/tech/full_papers/lao/lao_html/
2006,Automated known problem diagnosis with event traces,https://dl.acm.org/doi/abs/10.1145/1218063.1217972
2007,Triage: Diagnosing production run failures at the user’s site,https://dl.acm.org/doi/abs/10.1145/1323293.1294275
2007,AutoBash: Improving con guration management with operating system causality analysis,https://dl.acm.org/doi/abs/10.1145/1323293.1294284
2007,Snitch: Interactive decision trees for troubleshooting misconfigurations,https://www.usenix.org/legacy/event/sysml07/tech/full_papers/mickens/mickens.pdf
2008,Using causality to diagnose configuration bugs,https://www.usenix.org/legacy/event/usenix08/tech/full_papers/attariyan/attariyan_html/
2008,Automatic software fault diagnosis by exploiting application signatures,https://www.usenix.org/legacy/events/lisa08/tech/full_papers/ding/ding_html/
2008,Towards Automatic Reverse Engineering of Software Security Configurations,https://dl.acm.org/doi/abs/10.1145/1455770.1455802
2009,Automatically Generating Predicates and Solutions for Configuration Troubleshooting,https://www.usenix.org/legacy/events/usenix09/tech/full_papers/su/su.pdf
2010,Automating Configuration Troubleshooting with Dynamic Information Flow Analysis,https://www.usenix.org/legacy/event/osdi10/tech/full_papers/Attariyan.pdf
2010,SherLog: Error Diagnosis by Connecting Clues from Run-time Logs,https://dl.acm.org/doi/abs/10.1145/1736020.1736038
2011,Precomputing Possible Configuration Error Diagnoses,https://ieeexplore.ieee.org/abstract/document/6100053
2011,Context-based Online Configuration-Error Detection,https://www.usenix.org/legacy/events/atc11/tech/final_files/Yuan.pdf
2011,Capturing Expert Knowledge for Automated Configuration Fault Diagnosis,https://ieeexplore.ieee.org/abstract/document/5970183
2012,X-ray: Automating Root-Cause Diagnosis of Performance Anomalies in Production Software,https://www.usenix.org/conference/osdi12/technical-sessions/presentation/attariyan
2012,Misconfiguration Detection for Cloud Datacenters using Decision Tree Analysis,https://ieeexplore.ieee.org/abstract/document/6356072
2013,Do not blame users for misconfigurations,https://dl.acm.org/doi/abs/10.1145/2517349.2522727
2013,Automated Diagnosis of Software Conﬁguration Errors,https://ieeexplore.ieee.org/abstract/document/6606577
2013,Automated Diagnosis of Software Misconfigurations Based on Static Analysis,https://ieeexplore.ieee.org/abstract/document/6688897
2013,A Differential Approach for Configuration Fault Localization in Cloud Environments,https://ieeexplore.ieee.org/abstract/document/6529291/
